# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.88938776E+00  -8.51937870E+00   3.70009064E-01
# Error est. for CH(vbm) CH(cbm) diff =   6.51645509E-01   5.84781699E-01  -6.68638096E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -8.14546261E-01  -8.82222247E-01  -6.76759860E-02
      2  -1.90668286E+00  -1.82023388E+00   8.64489813E-02
      3  -3.50241865E+00  -2.34213246E+00   1.16028619E+00
      4  -5.18596549E+00  -2.68397180E+00   2.50199369E+00
      5  -5.40942404E+00  -4.67722464E+00   7.32199395E-01
      6  -5.70984100E+00  -5.02856712E+00   6.81273877E-01
      7  -6.06898208E+00  -5.60982619E+00   4.59155898E-01
      8  -6.34549085E+00  -6.14030239E+00   2.05188459E-01
      9  -6.56997637E+00  -6.38059656E+00   1.89379807E-01
     10  -6.77054964E+00  -6.53641406E+00   2.34135581E-01
     11  -6.90802742E+00  -6.71662215E+00   1.91405277E-01
     12  -7.06803220E+00  -6.89047147E+00   1.77560738E-01
     13  -7.15999681E+00  -7.02885720E+00   1.31139616E-01
     14  -7.24646410E+00  -7.15600823E+00   9.04558692E-02
     15  -7.32501326E+00  -7.24482677E+00   8.01864911E-02
     16  -7.41667271E+00  -7.33711750E+00   7.95552093E-02
     17  -7.49351159E+00  -7.40247738E+00   9.10342129E-02
     18  -7.55987322E+00  -7.48231578E+00   7.75574449E-02
     19  -7.62164396E+00  -7.55009944E+00   7.15445135E-02
     20  -7.67834959E+00  -7.60132295E+00   7.70266324E-02
     21  -7.72218051E+00  -7.65348660E+00   6.86939078E-02
     22  -7.76913694E+00  -7.70150169E+00   6.76352486E-02
     23  -7.80857809E+00  -7.74340101E+00   6.51770832E-02
     24  -7.83946992E+00  -7.78081277E+00   5.86571489E-02
     25  -7.88301098E+00  -7.81978050E+00   6.32304719E-02
     26  -7.91738986E+00  -7.84900526E+00   6.83846020E-02
     27  -7.94652209E+00  -7.87730290E+00   6.92191930E-02
     28  -7.96769144E+00  -7.90309492E+00   6.45965230E-02
     29  -7.99183379E+00  -7.92675065E+00   6.50831445E-02
     30  -8.01138270E+00  -7.94847881E+00   6.29038903E-02
     31  -8.02957252E+00  -7.97015403E+00   5.94184912E-02
     32  -8.04530362E+00  -7.98962168E+00   5.56819342E-02
     33  -8.06452559E+00  -8.00784299E+00   5.66826006E-02
     34  -8.08767897E+00  -8.02554093E+00   6.21380404E-02
# k =   0.000000   0.250000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.68808496E+00  -8.59493650E+00   9.31484592E-02
# Error est. for CH(vbm) CH(cbm) diff =   5.97861660E-01   5.67233424E-01  -3.06282369E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -7.89605599E-01  -8.87222009E-01  -9.76164106E-02
      2  -1.87986485E+00  -1.83103671E+00   4.88281422E-02
