# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
   12.685370741    0.373868632    0.152910943    0.152918223
   12.745490982    0.395929037    0.184585570    0.184600392
   12.805611222    0.441833014    0.207252279    0.207277570
   12.865731463    0.393274223    0.210095283    0.210121723
   12.925851703    0.345552424    0.204244406    0.204260445
   12.985971944    0.309205393    0.187306599    0.187315245
   13.046092184    0.260556491    0.177256496    0.177261466
   13.106212425    0.217395487    0.162558102    0.162561238
   13.166332665    0.197761528    0.152129086    0.152131293
   13.226452906    0.209563286    0.156182103    0.156183910
   13.286573146    0.226986687    0.155633368    0.155635022
   13.346693387    0.210406302    0.147155933    0.147157206
   13.406813627    0.183224424    0.143837331    0.143838214
   13.466933868    0.170667121    0.142325549    0.142326238
   13.527054108    0.174443809    0.143883349    0.143884013
   13.587174349    0.195314926    0.156750129    0.156750942
   13.647294589    0.197445533    0.174834401    0.174835620
   13.707414830    0.172945981    0.164515533    0.164516708
   13.767535070    0.163972579    0.145886861    0.145887547
   13.827655311    0.177956365    0.139064659    0.139065036
   13.887775551    0.198073781    0.140823493    0.140823766
   13.947895792    0.185418512    0.137695045    0.137695289
   14.008016032    0.174801402    0.134633286    0.134633408
   14.068136273    0.192265008    0.141390769    0.141390763
   14.128256513    0.212539298    0.150471122    0.150471016
   14.188376754    0.207583010    0.154972943    0.154972806
   14.248496994    0.225519884    0.172116827    0.172116685
   14.308617234    0.263240201    0.204593248    0.204593108
   14.368737475    0.295600693    0.252068435    0.252068315
   14.428857715    0.348728739    0.338828964    0.338828853
   14.488977956    0.353087150    0.403303757    0.403304205
   14.549098196    0.308397159    0.394158443    0.394159745
   14.609218437    0.277036512    0.369379433    0.369380325
   14.669338677    0.257317770    0.338933349    0.338933592
   14.729458918    0.225064459    0.292422959    0.292423004
   14.789579158    0.163835495    0.233098665    0.233098753
   14.849699399    0.114557865    0.183899351    0.183899486
   14.909819639    0.087011085    0.143687358    0.143687441
   14.969939880    0.071397805    0.124598633    0.124598668
   15.030060120    0.061736165    0.122525329    0.122525336
   15.090180361    0.055269761    0.115199552    0.115199567
   15.150300601    0.050673982    0.100288728    0.100288786
   15.210420842    0.047248102    0.095649100    0.095649232
   15.270541082    0.044652644    0.102289200    0.102289454
   15.330661323    0.042565263    0.105993133    0.105993559
   15.390781563    0.040635640    0.102387257    0.102387934
   15.450901804    0.039035727    0.101512127    0.101512942
   15.511022044    0.037851953    0.098152492    0.098153052
   15.571142285    0.036967988    0.094614564    0.094614890
   15.631262525    0.035838372    0.082270217    0.082270416
   15.691382766    0.034584546    0.074372024    0.074372175
   15.751503006    0.033609746    0.075652353    0.075652508
   15.811623246    0.032931235    0.079919611    0.079919790
   15.871743487    0.032532863    0.074095945    0.074096110
   15.931863727    0.031992938    0.068099806    0.068099977
   15.991983968    0.031000336    0.069101964    0.069102209
   16.052104208    0.030141634    0.074053510    0.074053870
   16.112224449    0.029535218    0.071104419    0.071104838
   16.172344689    0.029166997    0.067984295    0.067984830
   16.232464930    0.028992175    0.073905011    0.073905886
   16.292585170    0.028494882    0.083168778    0.083170082
   16.352705411    0.027672030    0.076193890    0.076194980
   16.412825651    0.027029689    0.065756857    0.065757512
   16.472945892    0.026598780    0.064061133    0.064061583
   16.533066132    0.026373935    0.065247092    0.065247464
   16.593186373    0.026252256    0.060288587    0.060288866
   16.653306613    0.025741316    0.057234133    0.057234372
   16.713426854    0.025072986    0.059370150    0.059370417
   16.773547094    0.024589764    0.058909763    0.058909983
   16.833667335    0.024288798    0.055089015    0.055089076
   16.893787575    0.024164068    0.056208590    0.056208495
   16.953907816    0.023974977    0.058824246    0.058824019
   17.014028056    0.023427756    0.057135617    0.057135298
   17.074148297    0.022924579    0.059368398    0.059367918
   17.134268537    0.022595101    0.061951011    0.061950468
   17.194388778    0.022429858    0.056444480    0.056444114
   17.254509018    0.022326738    0.053427561    0.053427318
   17.314629259    0.021933285    0.052931943    0.052931753
   17.374749499    0.021463912    0.049806368    0.049806275
   17.434869739    0.021148059    0.049348663    0.049348671
   17.494989980    0.020986406    0.048945198    0.048945381
   17.555110220    0.020876669    0.047415966    0.047416494
   17.615230461    0.020524843    0.047547549    0.047548701
   17.675350701    0.020131368    0.046189046    0.046191256
   17.735470942    0.019885368    0.045565440    0.045567944
   17.795591182    0.019772968    0.043537882    0.043539054
   17.855711423    0.019582557    0.040912025    0.040912233
   17.915831663    0.019230924    0.036633162    0.036633247
   17.975951904    0.018984758    0.032892113    0.032892234
   18.036072144    0.018869807    0.030709232    0.030709384
   18.096192385    0.018678580    0.029318885    0.029319051
   18.156312625    0.018422400    0.028300545    0.028300734
   18.216432866    0.018215217    0.027563728    0.027563900
   18.276553106    0.017870498    0.026823977    0.026824039
   18.336673347    0.017501415    0.026144178    0.026144200
   18.396793587    0.017207762    0.025596005    0.025596014
   18.456913828    0.016962660    0.025135637    0.025135637
   18.517034068    0.016742805    0.024729051    0.024729044
   18.577154309    0.016537365    0.024358324    0.024358312
   18.637274549    0.016341284    0.024013531    0.024013515
   18.697394790    0.016151999    0.023688651    0.023688632
   18.757515030    0.015968086    0.023379740    0.023379719
   18.817635271    0.015788689    0.023084059    0.023084036
   18.877755511    0.015613258    0.022799622    0.022799597
   18.937875752    0.015441413    0.022524934    0.022524908
   18.997995992    0.015272880    0.022258844    0.022258817
   19.058116232    0.015107450    0.022000439    0.022000411
   19.118236473    0.014944958    0.021748985    0.021748957
   19.178356713    0.014785268    0.021503881    0.021503852
   19.238476954    0.014628265    0.021264625    0.021264595
   19.298597194    0.014473852    0.021030795    0.021030765
   19.358717435    0.014321938    0.020802033    0.020802002
