# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    2.344689379   12.838199674   12.838194624   12.838196966
    2.404809619   11.689121458   11.689117586   11.689119349
    2.464929860   11.221343330   11.221340913   11.221341936
    2.525050100   13.902968903   13.902967081   13.902967795
    2.585170341   15.518574716   15.518573156   15.518573891
    2.645290581   11.911919246   11.911918136   11.911918721
    2.705410822    7.433408219    7.433407556    7.433407873
    2.765531062    5.023094259    5.023093870    5.023094010
    2.825651303    3.935548741    3.935548525    3.935548546
    2.885771543    3.562346925    3.562346843    3.562346759
    2.945891784    3.697560603    3.697560657    3.697560451
    3.006012024    4.405550528    4.405550764    4.405550374
    3.066132265    6.068787684    6.068788230    6.068787509
    3.126252505    9.409630988    9.409632101    9.409630761
    3.186372745   13.118287106   13.118288805   13.118286804
    3.246492986   11.926977357   11.926978677   11.926976984
    3.306613226   10.072043407   10.072044024   10.072042869
    3.366733467   11.222636631   11.222636758   11.222635733
    3.426853707   12.768412731   12.768412583   12.768411572
    3.486973948   10.397630346   10.397630255   10.397629567
    3.547094188    8.356942619    8.356942662    8.356942291
    3.607214429    8.598170866    8.598171031    8.598170870
    3.667334669   11.263637751   11.263638089   11.263638112
    3.727454910   15.351778653   15.351779291   15.351779427
    3.787575150   16.341748530   16.341749459   16.341749461
    3.847695391   13.877991004   13.877991837   13.877991691
    3.907815631   11.347682188   11.347682735   11.347682507
    3.967935872   11.518081174   11.518081589   11.518081243
    4.028056112   14.464589507   14.464589884   14.464589404
    4.088176353   20.650794043   20.650794381   20.650793803
    4.148296593   29.635733771   29.635734248   29.635733368
    4.208416834   36.795956735   36.795957472   36.795956227
    4.268537074   38.117686725   38.117687296   38.117686467
    4.328657315   36.699935400   36.699935731   36.699935551
    4.388777555   31.944361542   31.944361525   31.944361676
    4.448897796   25.764532176   25.764531828   25.764531949
    4.509018036   20.654571281   20.654570847   20.654570830
    4.569138277   14.888881202   14.888880919   14.888880792
    4.629258517   10.991185284   10.991185180   10.991184865
    4.689378758    9.763605669    9.763605706    9.763605092
    4.749498998    9.280848550    9.280848678    9.280847841
    4.809619238    7.479496343    7.479496438    7.479495798
    4.869739479    6.150721145    6.150721187    6.150720759
    4.929859719    6.009850264    6.009850272    6.009849911
    4.989979960    7.009331716    7.009331701    7.009331292
    5.050100200    8.887821104    8.887821055    8.887820558
    5.110220441   11.021454192   11.021454001   11.021453520
    5.170340681   12.519270309   12.519269981   12.519269555
    5.230460922   11.719063957   11.719063707   11.719063379
    5.290581162   12.429190102   12.429189965   12.429189709
    5.350701403   15.979833454   15.979833450   15.979833099
    5.410821643   19.626559587   19.626559678   19.626559183
    5.470941884   19.431481483   19.431481501   19.431481043
    5.531062124   16.927973832   16.927973899   16.927973560
    5.591182365   14.341417449   14.341417770   14.341417564
    5.651302605   13.808771485   13.808772073   13.808771861
    5.711422846   13.456591753   13.456592503   13.456592142
    5.771543086   12.368656819   12.368657563   12.368657148
